1,261
2,293
3,335
4,382
5,390
6,395
7,386
8,341
9,373
10,421
11,462
12,410
1,7623
2,20263
3,33902
4,42032
5,50506
6,47663
7,20020
8,20502
9,44396
10,81210
11,95159
12,109608
1,102
2,59
3,109
4,88
5,89
6,104
7,50
8,27
9,29
10,90
11,129
12,134
1,148
2,248
3,454
4,671
5,698
6,742
7,521
8,489
9,549
10,1028
11,1162
12,1044
1,88434
2,69949
3,86634
4,62066
5,152120
6,117144
7,117093
8,117674
9,140362
10,186222
11,242651
12,184584
1,9884
2,11797
3,17678
4,21369
5,33811
6,7816
7,60006
8,29608
9,44745
10,71495
11,75426
12,78229
1,1717
2,1550
3,2416
4,3251
5,3225
6,3624
7,3608
8,3283
9,3319
10,5496
11,9761
12,8853
1,511
2,306
3,376
4,530
5,510
6,595
7,364
8,368
9,273
10,413
11,553
12,584
1,287
2,304
3,373
4,394
5,530
6,656
7,615
8,667
9,880
10,1224
11,1081
12,1410
1,268
2,373
3,397
4,495
5,509
6,512
7,370
8,557
9,674
10,775
11,892
12,1140
1,44
2,51
3,112
4,227
5,247
6,255
7,245
8,150
9,200
10,538
11,479
12,420
1,983
2,642
3,501
4,1493
5,1380
6,1510
7,1311
8,771
9,507
10,675
11,1133
12,1400
1,5
2,11
3,16
4,32
5,32
6,38
7,23
8,59
9,43
10,133
11,254
12,163
1,838
2,1278
3,1235
4,3449
5,3616
6,2810
7,1076
8,1356
9,1918
10,6252
11,6766
12,5525
1,4
2,15
3,5
4,4
5,14
6,6
7,14
8,3
9,6
10,10
11,9
12,18
1,8478
2,19143
3,17766
4,80011
5,35004
6,47411
7,18793
8,19611
9,32899
10,84190
11,38981
12,41950
1,59
2,101
3,172
4,602
5,791
6,994
7,731
8,348
9,756
10,1025
11,1397
12,1387
1,1155
2,753
3,762
4,1096
5,1791
6,1812
7,1904
8,1904
9,995
10,1051
11,1840
12,3112
1,208
2,361
3,197
4,207
5,195
6,229
7,191
8,161
9,175
10,91
11,189
12,174
1,3022
2,3281
3,4306
4,6326
5,8436
6,10401
7,12415
8,11318
9,9848
10,12353
11,16259
12,23039
1,124
2,126
3,138
4,176
5,241
6,231
7,173
8,147
9,72
10,161
11,215
12,122
1,151
2,560
3,4139
4,5768
5,5958
6,5567
7,5293
8,413
9,1103
10,5845
11,8587
12,9058
1,122
2,128
3,145
4,241
5,328
6,433
7,469
8,469
9,556
10,673
11,967
12,1429
1,165
2,198
3,398
4,554
5,511
6,615
7,816
8,410
9,411
10,730
11,1056
12,1240
1,912
2,1925
3,2241
4,3002
5,3851
6,5048
7,2332
8,3538
9,5024
10,5457
11,5202
12,3777
1,261
2,293
3,335
4,382
5,390
6,395
7,386
8,341
9,373
10,421
11,462
12,410
1,7623
2,20263
3,33902
4,42032
5,50506
6,47663
7,20020
8,20502
9,44396
10,81210
11,95159
12,109608
1,102
2,59
3,109
4,88
5,89
6,104
7,50
8,27
9,29
10,90
11,129
12,134
1,148
2,248
3,454
4,671
5,698
6,742
7,521
8,489
9,549
10,1028
11,1162
12,1044
1,88434
2,69949
3,86634
4,62066
5,152120
6,117144
7,117093
8,117674
9,140362
10,186222
11,242651
12,184584
1,9884
2,11797
3,17678
4,21369
5,33811
6,7816
7,60006
8,29608
9,44745
10,71495
11,75426
12,78229
1,1717
2,1550
3,2416
4,3251
5,3225
6,3624
7,3608
8,3283
9,3319
10,5496
11,9761
12,8853
1,511
2,306
3,376
4,530
5,510
6,595
7,364
8,368
9,273
10,413
11,553
12,584
1,287
2,304
3,373
4,394
5,530
6,656
7,615
8,667
9,880
10,1224
11,1081
12,1410
1,268
2,373
3,397
4,495
5,509
6,512
7,370
8,557
9,674
10,775
11,892
12,1140
1,44
2,51
3,112
4,227
5,247
6,255
7,245
8,150
9,200
10,538
11,479
12,420
1,983
2,642
3,501
4,1493
5,1380
6,1510
7,1311
8,771
9,507
10,675
11,1133
12,1400
1,5
2,11
3,16
4,32
5,32
6,38
7,23
8,59
9,43
10,133
11,254
12,163
1,838
2,1278
3,1235
4,3449
5,3616
6,2810
7,1076
8,1356
9,1918
10,6252
11,6766
12,5525
1,4
2,15
3,5
4,4
5,14
6,6
7,14
8,3
9,6
10,10
11,9
12,18
1,8478
2,19143
3,17766
4,80011
5,35004
6,47411
7,18793
8,19611
9,32899
10,84190
11,38981
12,41950
1,59
2,101
3,172
4,602
5,791
6,994
7,731
8,348
9,756
10,1025
11,1397
12,1387
1,1155
2,753
3,762
4,1096
5,1791
6,1812
7,1904
8,1904
9,995
10,1051
11,1840
12,3112
1,208
2,361
3,197
4,207
5,195
6,229
7,191
8,161
9,175
10,91
11,189
12,174
1,3022
2,3281
3,4306
4,6326
5,8436
6,10401
7,12415
8,11318
9,9848
10,12353
11,16259
12,23039
1,124
2,126
3,138
4,176
5,241
6,231
7,173
8,147
9,72
10,161
11,215
12,122
1,151
2,560
3,4139
4,5768
5,5958
6,5567
7,5293
8,413
9,1103
10,5845
11,8587
12,9058
1,122
2,128
3,145
4,241
5,328
6,433
7,469
8,469
9,556
10,673
11,967
12,1429
1,165
2,198
3,398
4,554
5,511
6,615
7,816
8,410
9,411
10,730
11,1056
12,1240
1,912
2,1925
3,2241
4,3002
5,3851
6,5048
7,2332
8,3538
9,5024
10,5457
11,5202
12,3777
